M,F,GY
A225,A357,1460.945
A232,A392,1643.445
A235,A406,1606.86
A237,A032,1050.28
A240,A418,1775.97
A241,A432,1291.44
A242,A289,1243.99
A246,A217,1354.14
A247,A423,1582.12
A248,A291,1750.5
A248,A277,760.18
A250,A021,928.485
A253,A426,1912.865
A254,A211,1531.33
A256,A010,1023.115
A257,A040,1402.05
A258,A299,1392.725
A259,A398,1449.78
A260,A306,1631.855
A262,A105,1032.59
A265,A410,1388.07
A266,A322,1814.59
A268,A412,1841.105
A269,A420,1470.85
A269,A128,824.485
A271,A217,1093.91
A272,A034,1508.02
A277,A141,1084.08
A278,A033,1574.59
A279,A371,1212.725
A279,A117,1320.6
A280,A141,1439.98
A283,A356,1358.605
A284,A357,1149.045
A288,A423,973.035
A289,A101,1281.625
A289,A303,1179.525
A291,A193,1693.12
A292,A154,1100.83
A293,A283,1634.885
A293,A246,1433.87
A294,A377,1045.61
A296,A410,1384.09
A298,A420,1831.93
A299,A005,1127.035
A302,A356,1573.42
A302,A038,1986.185
A303,A375,1559.655
A304,A405,1454.05
A306,A105,1341.665
A306,A287,1527.15
A309,A399,1795.44
A311,A375,1498.495
A315,A054,1056.29
A316,A071,1500.85
A319,A183,1531.195
A322,A377,1271.71
A325,A331,1230.82
A327,A334,796.38
A328,A186,983.95
A330,A003,1062.26
A331,A190,1585.725
A334,A166,1769.895
A335,A430,2135.93
A337,A345,1890.765
A351,A018,1806.17
A354,A242,1588.22
A356,A067,1029.26
A357,A351,1244.565
A357,A309,1010.625
A358,A271,936.745
A362,A306,1435.36
A370,A345,1531.46
A370,A349,1420.09
A370,A403,1137.75
A371,A260,1437.71
A375,A020,1737.455
A376,A253,1549.175
A376,A118,778.2
A377,A349,1514.81
A379,A284,1575.86
A380,A106,1295.675
A380,A208,1283.795
A381,A072,1108.97
A382,A030,869.19
A384,A309,1294.715
A387,A043,1228.34
A389,A062,2382.22
A392,A025,1856.865
A393,A074,1418.8
A395,A331,1874.825
A397,A032,1669.57
A398,A087,1810.71
A399,A101,1903.61
A402,A225,1819.09
A403,A284,1420.19
A405,A141,1802.84
A407,A020,1123.145
A408,A248,836.275
A408,A257,1292.925
A410,A177,1464.455
A412,A030,1526.155
A413,A194,1321.525
A418,A073,1175.285
A420,A196,1204.91
A422,A054,1438.15
A423,A331,973.75
A425,A088,1909.415
A426,A328,1623.04
A427,A018,986.115
A428,A105,1222.345
A429,A225,1621.22
A430,A054,1546.01
A432,A099,1232.12
A435,A203,1901.03
A436,A099,1835.15
A439,A030,1333.44
